subscriptionName,resourceGroup,resourceType,resourceName,recommendationDisplayName,severity,state,controls
Channels-A,rg-chan-mijndas-a-we-001,sites,app-chan-mijndas-a-we-001,CORS should not allow every resource to access Web Applications,Low,Healthy,Restrict unauthorized network access
Channels-A,rg-chan-mijndas-a-we-001,sites,app-chan-mijndas-a-we-001,Remote debugging should be turned off for Web Applications,Medium,Healthy,Implement security best practices
Channels-A,rg-chan-mijndas-a-we-001,sites,app-chan-mijndas-a-we-001,Managed identity should be enabled on web apps,High,Healthy,Manage access and permissions
Channels-A,rg-chan-mijndas-a-we-001,sites,app-chan-mijndas-a-we-001,Diagnostic logs in App Service should be enabled,Medium,Healthy,Enable auditing and logging
Channels-A,rg-chan-mijndas-a-we-001,sites,app-chan-mijndas-a-we-001,TLS should be updated to the latest version for web apps,High,Healthy,Encrypt data in transit
Channels-A,rg-chan-mijndas-a-we-001,sites,app-chan-mijndas-a-we-001,Web Application should only be accessible over HTTPS,High,Healthy,Encrypt data in transit
Channels-A,rg-chan-mijndas-a-we-001,sites,app-chan-mijndas-a-we-001,FTPS should be required in web apps,High,Healthy,Encrypt data in transit
Channels-A,rg-chan-mijndas-a-we-001,vaults,kv-chan-mijndas-a-we-001,Azure Key Vaults should use private link,Medium,Unhealthy,Restrict unauthorized network access
Channels-A,rg-chan-mijndas-a-we-001,vaults,kv-chan-mijndas-a-we-001,Diagnostic logs in Key Vault should be enabled,Low,Healthy,Enable auditing and logging
Channels-A,rg-chan-mijndas-a-we-001,vaults,kv-chan-mijndas-a-we-001,Key vaults should have soft delete enabled,High,Healthy,Implement security best practices
Channels-A,rg-chan-mijndas-a-we-001,vaults,kv-chan-mijndas-a-we-001,Role-Based Access Control should be used on Azure Keyvault Services (AKV),High,Healthy,Manage access and permissions
Channels-A,rg-chan-mijndas-a-we-001,vaults,kv-chan-mijndas-a-we-001,Firewall should be enabled on Key Vault,Medium,Healthy,Restrict unauthorized network access
Channels-A,rg-chan-mijndas-a-we-001,vaults,kv-chan-mijndas-a-we-001,Key vaults should have deletion protection enabled,Medium,Healthy,Implement security best practices
Channels-A,rg-chan-medewerker-a-we-001,sites,app-chan-medewerker-a-we-001,CORS should not allow every resource to access Web Applications,Low,Healthy,Restrict unauthorized network access
Channels-A,rg-chan-medewerker-a-we-001,sites,app-chan-medewerker-a-we-001,Remote debugging should be turned off for Web Applications,Medium,Healthy,Implement security best practices
Channels-A,rg-chan-medewerker-a-we-001,sites,app-chan-medewerker-a-we-001,Managed identity should be enabled on web apps,High,Healthy,Manage access and permissions
Channels-A,rg-chan-medewerker-a-we-001,sites,app-chan-medewerker-a-we-001,Diagnostic logs in App Service should be enabled,Medium,Healthy,Enable auditing and logging
Channels-A,rg-chan-medewerker-a-we-001,sites,app-chan-medewerker-a-we-001,TLS should be updated to the latest version for web apps,High,Healthy,Encrypt data in transit
Channels-A,rg-chan-medewerker-a-we-001,sites,app-chan-medewerker-a-we-001,Web Application should only be accessible over HTTPS,High,Healthy,Encrypt data in transit
Channels-A,rg-chan-medewerker-a-we-001,sites,app-chan-medewerker-a-we-001,FTPS should be required in web apps,High,Healthy,Encrypt data in transit
Channels-A,rg-chan-medewerker-a-we-001,vaults,kv-chan-mede-a-we-001,Azure Key Vaults should use private link,Medium,Unhealthy,Restrict unauthorized network access
Channels-A,rg-chan-medewerker-a-we-001,vaults,kv-chan-mede-a-we-001,Diagnostic logs in Key Vault should be enabled,Low,Healthy,Enable auditing and logging
Channels-A,rg-chan-medewerker-a-we-001,vaults,kv-chan-mede-a-we-001,Key vaults should have soft delete enabled,High,Healthy,Implement security best practices
Channels-A,rg-chan-medewerker-a-we-001,vaults,kv-chan-mede-a-we-001,Role-Based Access Control should be used on Azure Keyvault Services (AKV),High,Healthy,Manage access and permissions
Channels-A,rg-chan-medewerker-a-we-001,vaults,kv-chan-mede-a-we-001,Firewall should be enabled on Key Vault,Medium,Healthy,Restrict unauthorized network access
Channels-A,rg-chan-medewerker-a-we-001,vaults,kv-chan-mede-a-we-001,Key vaults should have deletion protection enabled,Medium,Healthy,Implement security best practices
Channels-A,rg-chan-gtm-a-we-001,sites,app-chan-gtm-a-we-001,CORS should not allow every resource to access Web Applications,Low,Healthy,Restrict unauthorized network access
Channels-A,rg-chan-gtm-a-we-001,sites,app-chan-gtm-a-we-001,Remote debugging should be turned off for Web Applications,Medium,Healthy,Implement security best practices
Channels-A,rg-chan-gtm-a-we-001,sites,app-chan-gtm-a-we-001,Managed identity should be enabled on web apps,High,Healthy,Manage access and permissions
Channels-A,rg-chan-gtm-a-we-001,sites,app-chan-gtm-a-we-001,Diagnostic logs in App Service should be enabled,Medium,Healthy,Enable auditing and logging
Channels-A,rg-chan-gtm-a-we-001,sites,app-chan-gtm-a-we-001,TLS should be updated to the latest version for web apps,High,Healthy,Encrypt data in transit
Channels-A,rg-chan-gtm-a-we-001,sites,app-chan-gtm-a-we-001,Web Application should only be accessible over HTTPS,High,Healthy,Encrypt data in transit
Channels-A,rg-chan-gtm-a-we-001,sites,app-chan-gtm-a-we-001,FTPS should be required in web apps,High,Healthy,Encrypt data in transit
Channels-A,rg-chan-gtm-a-we-001,vaults,kv-chan-gtm-a-we-001,Azure Key Vaults should use private link,Medium,Unhealthy,Restrict unauthorized network access
Channels-A,rg-chan-gtm-a-we-001,vaults,kv-chan-gtm-a-we-001,Diagnostic logs in Key Vault should be enabled,Low,Healthy,Enable auditing and logging
Channels-A,rg-chan-gtm-a-we-001,vaults,kv-chan-gtm-a-we-001,Key vaults should have soft delete enabled,High,Healthy,Implement security best practices
Channels-A,rg-chan-gtm-a-we-001,vaults,kv-chan-gtm-a-we-001,Role-Based Access Control should be used on Azure Keyvault Services (AKV),High,Healthy,Manage access and permissions
